Boss Defense Range,Percentage
Less than or equal to 0,90.64
Less than or equal to 10,92.73
Less than or equal to 20,94.73
Less than or equal to 30,96.28
Less than or equal to 40,96.96000000000001
Less than or equal to 50,97.78999999999999
Less than or equal to 60,98.55000000000001
Less than or equal to 70,98.76
Less than or equal to 80,99.03
Less than or equal to 90,99.3
Less than or equal to 100,99.61
Less than or equal to 110,99.69
Less than or equal to 120,99.8
Less than or equal to 130,99.88
Less than or equal to 140,99.9
Less than or equal to 150,99.94
Less than or equal to 160,99.98
Less than or equal to 170,100.0
Less than or equal to 180,100.0
Less than or equal to 190,100.0
Less than or equal to 200,100.0
