Boss Defense Range,Percentage
Less than or equal to 0,93.08999999999999
Less than or equal to 10,94.6
Less than or equal to 20,96.03
Less than or equal to 30,96.99
Less than or equal to 40,97.61999999999999
Less than or equal to 50,98.16
Less than or equal to 60,98.78
Less than or equal to 70,99.0
Less than or equal to 80,99.3
Less than or equal to 90,99.56
Less than or equal to 100,99.71
Less than or equal to 110,99.77000000000001
Less than or equal to 120,99.83
Less than or equal to 130,99.92999999999999
Less than or equal to 140,99.96000000000001
Less than or equal to 150,99.96000000000001
Less than or equal to 160,99.99
Less than or equal to 170,100.0
Less than or equal to 180,100.0
Less than or equal to 190,100.0
Less than or equal to 200,100.0
