Boss Defense Range,Percentage
Less than or equal to 0,93.5
Less than or equal to 10,95.06
Less than or equal to 20,96.3
Less than or equal to 30,97.18
Less than or equal to 40,97.72999999999999
Less than or equal to 50,98.31
Less than or equal to 60,98.77
Less than or equal to 70,99.00999999999999
Less than or equal to 80,99.25
Less than or equal to 90,99.49
Less than or equal to 100,99.83
Less than or equal to 110,99.86
Less than or equal to 120,99.9
Less than or equal to 130,99.97
Less than or equal to 140,99.99
Less than or equal to 150,99.99
Less than or equal to 160,99.99
Less than or equal to 170,100.0
Less than or equal to 180,100.0
Less than or equal to 190,100.0
Less than or equal to 200,100.0
