Boss Defense Range,Percentage
Less than or equal to 0,98.26
Less than or equal to 10,98.72999999999999
Less than or equal to 20,99.15
Less than or equal to 30,99.42999999999999
Less than or equal to 40,99.48
Less than or equal to 50,99.61
Less than or equal to 60,99.72
Less than or equal to 70,99.8
Less than or equal to 80,99.85000000000001
Less than or equal to 90,99.92
Less than or equal to 100,99.97
Less than or equal to 110,99.98
Less than or equal to 120,99.99
Less than or equal to 130,99.99
Less than or equal to 140,99.99
Less than or equal to 150,100.0
Less than or equal to 160,100.0
Less than or equal to 170,100.0
Less than or equal to 180,100.0
Less than or equal to 190,100.0
Less than or equal to 200,100.0
