Boss Defense Range,Percentage
Less than or equal to 0,98.76
Less than or equal to 10,98.98
Less than or equal to 20,99.25
Less than or equal to 30,99.46000000000001
Less than or equal to 40,99.53999999999999
Less than or equal to 50,99.68
Less than or equal to 60,99.82
Less than or equal to 70,99.83999999999999
Less than or equal to 80,99.89
Less than or equal to 90,99.92999999999999
Less than or equal to 100,99.94
Less than or equal to 110,99.96000000000001
Less than or equal to 120,99.96000000000001
Less than or equal to 130,99.99
Less than or equal to 140,99.99
Less than or equal to 150,99.99
Less than or equal to 160,99.99
Less than or equal to 170,100.0
Less than or equal to 180,100.0
Less than or equal to 190,100.0
Less than or equal to 200,100.0
