Boss Defense Range,Percentage
Less than or equal to 0,98.78
Less than or equal to 10,99.02
Less than or equal to 20,99.3
Less than or equal to 30,99.55000000000001
Less than or equal to 40,99.67
Less than or equal to 50,99.77000000000001
Less than or equal to 60,99.86
Less than or equal to 70,99.91
Less than or equal to 80,99.91
Less than or equal to 90,99.94
Less than or equal to 100,99.96000000000001
Less than or equal to 110,99.98
Less than or equal to 120,100.0
Less than or equal to 130,100.0
Less than or equal to 140,100.0
Less than or equal to 150,100.0
Less than or equal to 160,100.0
Less than or equal to 170,100.0
Less than or equal to 180,100.0
Less than or equal to 190,100.0
Less than or equal to 200,100.0
