Boss Defense Range,Percentage
Less than or equal to 0,97.49
Less than or equal to 10,97.49
Less than or equal to 20,97.50999999999999
Less than or equal to 30,99.17
Less than or equal to 40,99.17
Less than or equal to 50,99.17
Less than or equal to 60,99.75
Less than or equal to 70,99.75
Less than or equal to 80,99.75
Less than or equal to 90,99.75
Less than or equal to 100,99.94
Less than or equal to 110,99.94
Less than or equal to 120,99.94
Less than or equal to 130,100.0
Less than or equal to 140,100.0
Less than or equal to 150,100.0
Less than or equal to 160,100.0
Less than or equal to 170,100.0
Less than or equal to 180,100.0
Less than or equal to 190,100.0
Less than or equal to 200,100.0
