Boss Defense Range,Percentage
Less than or equal to 0,97.61
Less than or equal to 10,97.61
Less than or equal to 20,97.63
Less than or equal to 30,99.22
Less than or equal to 40,99.22
Less than or equal to 50,99.22
Less than or equal to 60,99.82
Less than or equal to 70,99.82
Less than or equal to 80,99.82
Less than or equal to 90,99.82
Less than or equal to 100,99.96000000000001
Less than or equal to 110,99.96000000000001
Less than or equal to 120,99.96000000000001
Less than or equal to 130,99.99
Less than or equal to 140,99.99
Less than or equal to 150,99.99
Less than or equal to 160,99.99
Less than or equal to 170,100.0
Less than or equal to 180,100.0
Less than or equal to 190,100.0
Less than or equal to 200,100.0
