Boss Defense Range,Percentage
Less than or equal to 0,81.08999999999999
Less than or equal to 10,81.08999999999999
Less than or equal to 20,84.14
Less than or equal to 30,92.78999999999999
Less than or equal to 40,92.78999999999999
Less than or equal to 50,93.17
Less than or equal to 60,97.05
Less than or equal to 70,97.05
Less than or equal to 80,97.05
Less than or equal to 90,97.08
Less than or equal to 100,99.06
Less than or equal to 110,99.06
Less than or equal to 120,99.06
Less than or equal to 130,99.76
Less than or equal to 140,99.76
Less than or equal to 150,99.76
Less than or equal to 160,99.76
Less than or equal to 170,99.97
Less than or equal to 180,99.97
Less than or equal to 190,99.97
Less than or equal to 200,100.0
