Boss Defense Range,Percentage
Less than or equal to 0,77.75999999999999
Less than or equal to 10,82.39999999999999
Less than or equal to 20,86.11999999999999
Less than or equal to 30,88.16000000000001
Less than or equal to 40,89.83
Less than or equal to 50,91.27
Less than or equal to 60,92.25
Less than or equal to 70,92.85
Less than or equal to 80,93.06
Less than or equal to 90,93.06
Less than or equal to 100,93.07
Less than or equal to 110,93.16
Less than or equal to 120,93.34
Less than or equal to 130,93.58999999999999
Less than or equal to 140,93.96
Less than or equal to 150,94.42
Less than or equal to 160,94.86
Less than or equal to 170,95.45
Less than or equal to 180,96.24000000000001
Less than or equal to 190,97.07000000000001
Less than or equal to 200,97.88
