Boss Defense Range,Percentage
Less than or equal to 0,78.34
Less than or equal to 10,83.42
Less than or equal to 20,87.01
Less than or equal to 30,88.99000000000001
Less than or equal to 40,90.73
Less than or equal to 50,92.11
Less than or equal to 60,93.13
Less than or equal to 70,93.67
Less than or equal to 80,93.81
Less than or equal to 90,93.81
Less than or equal to 100,93.81
Less than or equal to 110,93.89999999999999
Less than or equal to 120,94.08
Less than or equal to 130,94.34
Less than or equal to 140,94.59
Less than or equal to 150,94.98
Less than or equal to 160,95.43
Less than or equal to 170,95.94
Less than or equal to 180,96.72
Less than or equal to 190,97.53
Less than or equal to 200,98.13
