Boss Defense Range,Percentage
Less than or equal to 0,11.34
Less than or equal to 10,16.37
Less than or equal to 20,23.1
Less than or equal to 30,31.56
Less than or equal to 40,40.28
Less than or equal to 50,48.43
Less than or equal to 60,56.08
Less than or equal to 70,63.129999999999995
Less than or equal to 80,69.72
Less than or equal to 90,75.8
Less than or equal to 100,81.01
Less than or equal to 110,85.41
Less than or equal to 120,88.13
Less than or equal to 130,90.33
Less than or equal to 140,92.36
Less than or equal to 150,93.88
Less than or equal to 160,95.22
Less than or equal to 170,96.21
Less than or equal to 180,96.87
Less than or equal to 190,97.55
Less than or equal to 200,98.17
