Boss Defense Range,Percentage
Less than or equal to 0,11.790000000000001
Less than or equal to 10,17.560000000000002
Less than or equal to 20,24.33
Less than or equal to 30,32.34
Less than or equal to 40,40.949999999999996
Less than or equal to 50,50.029999999999994
Less than or equal to 60,57.43000000000001
Less than or equal to 70,64.64
Less than or equal to 80,71.12
Less than or equal to 90,77.29
Less than or equal to 100,82.49
Less than or equal to 110,85.84
Less than or equal to 120,88.74
Less than or equal to 130,91.17
Less than or equal to 140,93.04
Less than or equal to 150,94.77
Less than or equal to 160,95.86
Less than or equal to 170,96.78
Less than or equal to 180,97.3
Less than or equal to 190,97.92
Less than or equal to 200,98.42999999999999
