Boss Defense Range,Percentage
Less than or equal to 0,12.19
Less than or equal to 10,17.740000000000002
Less than or equal to 20,24.8
Less than or equal to 30,33.29
Less than or equal to 40,42.559999999999995
Less than or equal to 50,50.690000000000005
Less than or equal to 60,58.06
Less than or equal to 70,64.79
Less than or equal to 80,71.31
Less than or equal to 90,77.42999999999999
Less than or equal to 100,82.85
Less than or equal to 110,86.37
Less than or equal to 120,88.92
Less than or equal to 130,90.92
Less than or equal to 140,92.83
Less than or equal to 150,94.36
Less than or equal to 160,95.66
Less than or equal to 170,96.5
Less than or equal to 180,97.14
Less than or equal to 190,97.7
Less than or equal to 200,98.15
