Boss Defense Range,Percentage
Less than or equal to 0,79.46
Less than or equal to 10,89.27000000000001
Less than or equal to 20,93.19
Less than or equal to 30,94.96
Less than or equal to 40,95.81
Less than or equal to 50,96.47
Less than or equal to 60,97.15
Less than or equal to 70,97.94
Less than or equal to 80,98.61999999999999
Less than or equal to 90,98.61999999999999
Less than or equal to 100,98.61999999999999
Less than or equal to 110,98.61999999999999
Less than or equal to 120,98.61999999999999
Less than or equal to 130,98.61999999999999
Less than or equal to 140,98.61999999999999
Less than or equal to 150,98.61999999999999
Less than or equal to 160,98.61999999999999
Less than or equal to 170,98.61999999999999
Less than or equal to 180,98.77
Less than or equal to 190,98.9
Less than or equal to 200,99.08
